0.01 0.8 70 4
0.03 0.8 50 1
0.03 0.95 50 8
0.05 0.8 70 4
0.03 0.65 70 1
0.03 0.8 50 8
0.05 0.95 50 4
0.05 0.95 50 1
0.01 0.8 70 8
0.01 0.65 50 4
0.05 0.65 30 1
0.01 0.95 30 8
0.05 0.8 30 4
0.05 0.95 70 1
0.01 0.95 30 8
0.01 0.65 50 4
0.03 0.8 30 1
0.03 0.65 70 8
0.03 0.95 30 4
0.01 0.65 50 1
0.05 0.8 50 8
0.03 0.65 30 4
0.01 0.95 70 1
0.05 0.65 70 8
0.03 0.95 70 4
0.01 0.8 30 1
0.05 0.65 30 8
0.01 0.8 70 4
0.03 0.8 50 1
0.03 0.95 50 8
0.05 0.8 70 4
0.03 0.65 70 1
0.03 0.8 50 8
0.05 0.95 50 4
0.05 0.95 50 1
0.01 0.8 70 8
0.01 0.65 50 4
0.05 0.65 30 1
0.01 0.95 30 8
0.05 0.8 30 4
0.05 0.95 70 1
0.01 0.95 30 8
0.01 0.65 50 4
0.03 0.8 30 1
0.03 0.65 70 8
0.03 0.95 30 4
0.01 0.65 50 1
0.05 0.8 50 8
0.03 0.65 30 4
0.01 0.95 70 1
0.05 0.65 70 8
0.03 0.95 70 4
0.01 0.8 30 1
0.05 0.65 30 8
0.01 0.8 70 4
0.03 0.8 50 1
0.03 0.95 50 8
0.05 0.8 70 4
0.03 0.65 70 1
0.03 0.8 50 8
0.05 0.95 50 4
0.05 0.95 50 1
0.01 0.8 70 8
0.01 0.65 50 4
0.05 0.65 30 1
0.01 0.95 30 8
0.05 0.8 30 4
0.05 0.95 70 1
0.01 0.95 30 8
0.01 0.65 50 4
0.03 0.8 30 1
0.03 0.65 70 8
0.03 0.95 30 4
0.01 0.65 50 1
0.05 0.8 50 8
0.03 0.65 30 4
0.01 0.95 70 1
0.05 0.65 70 8
0.03 0.95 70 4
0.01 0.8 30 1
0.05 0.65 30 8
0.01 0.8 70 4
0.03 0.8 50 1
0.03 0.95 50 8
0.05 0.8 70 4
0.03 0.65 70 1
0.03 0.8 50 8
0.05 0.95 50 4
0.05 0.95 50 1
0.01 0.8 70 8
0.01 0.65 50 4
0.05 0.65 30 1
0.01 0.95 30 8
0.05 0.8 30 4
0.05 0.95 70 1
0.01 0.95 30 8
0.01 0.65 50 4
0.03 0.8 30 1
0.03 0.65 70 8
0.03 0.95 30 4
0.01 0.65 50 1
0.05 0.8 50 8
0.03 0.65 30 4
0.01 0.95 70 1
0.05 0.65 70 8
0.03 0.95 70 4
0.01 0.8 30 1
0.05 0.65 30 8
0.01 0.8 70 4
0.03 0.8 50 1
0.03 0.95 50 8
0.05 0.8 70 4
0.03 0.65 70 1
0.03 0.8 50 8
0.05 0.95 50 4
0.05 0.95 50 1
0.01 0.8 70 8
0.01 0.65 50 4
0.05 0.65 30 1
0.01 0.95 30 8
0.05 0.8 30 4
0.05 0.95 70 1
0.01 0.95 30 8
0.01 0.65 50 4
0.03 0.8 30 1
0.03 0.65 70 8
0.03 0.95 30 4
0.01 0.65 50 1
0.05 0.8 50 8
0.03 0.65 30 4
0.01 0.95 70 1
0.05 0.65 70 8
0.03 0.95 70 4
0.01 0.8 30 1
0.05 0.65 30 8
